height, complexity, surroundings, distance, moving
Tall, High, Urban, Medium Shot, Moving Aerial Pan Shot
Tall, High, Suburban, Medium Shot, Moving Aerial Tilt Shot
Tall, High, Natural, Very Long Shot, Bird's-eye Shot
Tall, Medium, Urban, Medium Shot, Pedestal/Elevator Shot
Tall, Medium, Suburban, Medium Shot, Survey Shot
Tall, Medium, Natural, Very Long Shot, Moving bird's-eye Shot
Tall, Low, Urban, Medium Shot, Fly-through Shot
Tall, Low, Suburban, Medium Shot, Moving Aerial Pan Shot
Tall, Low, Natural, Very Long Shot, Bird's-eye Shot
Medium, High, Urban, Medium Shot, Moving Aerial Tilt Shot
Medium, High, Suburban, Medium Shot, Pedestal/Elevator Shot
Medium, High, Natural, Very Long Shot, Survey Shot
Medium, Medium, Urban, Medium Shot, Moving bird's-eye Shot
Medium, Medium, Suburban, Medium Shot, Fly-through Shot
Medium, Medium, Natural, Very Long Shot, Moving Aerial Pan Shot
Medium, Low, Urban, Medium Shot, Moving Aerial Tilt Shot
Medium, Low, Suburban, Medium Shot, Pedestal/Elevator Shot
Medium, Low, Natural, Very Long Shot, Bird's-eye Shot
Short, High, Urban, Close-up, Moving Aerial Pan Shot
Short, High, Suburban, Close-up, Moving Aerial Tilt Shot
Short, High, Natural, Medium Shot, Pedestal/Elevator Shot
Short, Medium, Urban, Close-up, Survey Shot
Short, Medium, Suburban, Close-up, Moving Aerial Pan Shot
Short, Medium, Natural, Medium Shot, Moving bird's-eye Shot
Short, Low, Urban, Close-up, Fly-through Shot
Short, Low, Suburban, Close-up, Moving Aerial Tilt Shot
Short, Low, Natural, Medium Shot, Survey Shot
