height, complexity, surroundings, distance, moving
Tall, High, Urban, Medium Shot, Moving Aerial Pan Shot
Tall, High, Suburban, Very Long Shot, Moving Aerial Tilt Shot
Tall, High, Natural, Medium Shot, Bird's-eye Shot
Tall, Medium, Urban, Medium Shot, Pedestal/Elevator Shot
Tall, Medium, Suburban, Very Long Shot, Fly-through Shot
Tall, Medium, Natural, Medium Shot, Moving Aerial Pan Shot
Tall, Low, Urban, Medium Shot, Survey Shot
Tall, Low, Suburban, Very Long Shot, Moving Aerial Pan Shot
Tall, Low, Natural, Medium Shot, Moving bird's-eye Shot
Medium, High, Urban, Medium Shot, Bird's-eye Shot
Medium, High, Suburban, Very Long Shot, Moving Aerial Tilt Shot
Medium, High, Natural, Medium Shot, Pedestal/Elevator Shot
Medium, Medium, Urban, Medium Shot, Moving Aerial Pan Shot
Medium, Medium, Suburban, Very Long Shot, Fly-through Shot
Medium, Medium, Natural, Medium Shot, Survey Shot
Medium, Low, Urban, Medium Shot, Moving Aerial Tilt Shot
Medium, Low, Suburban, Very Long Shot, Bird's-eye Shot
Medium, Low, Natural, Medium Shot, Survey Shot
Short, High, Urban, Close-up, Pedestal/Elevator Shot
Short, High, Suburban, Close-up, Moving Aerial Pan Shot
Short, High, Natural, Medium Shot, Fly-through Shot
Short, Medium, Urban, Close-up, Bird's-eye Shot
Short, Medium, Suburban, Close-up, Survey Shot
Short, Medium, Natural, Medium Shot, Moving bird's-eye Shot
Short, Low, Urban, Close-up, Moving Aerial Pan Shot
Short, Low, Suburban, Close-up, Bird's-eye Shot
Short, Low, Natural, Medium Shot, Pedestal/Elevator Shot
