height, complexity, surroundings, distance, moving
Tall, High, Urban, Medium Shot, Moving Aerial Pan Shot
Tall, High, Suburban, Medium Shot, Moving Aerial Tilt Shot
Tall, High, Natural, Very Long Shot, Moving bird's-eye Shot
Tall, Medium, Urban, Medium Shot, Pedestal/Elevator Shot
Tall, Medium, Suburban, Very Long Shot, Bird's-eye Shot
Tall, Medium, Natural, Very Long Shot, Survey Shot
Tall, Low, Urban, Medium Shot, Pedestal/Elevator Shot
Tall, Low, Suburban, Very Long Shot, Survey Shot
Tall, Low, Natural, Very Long Shot, Survey Shot
Medium, High, Urban, Medium Shot, Pedestal/Elevator Shot
Medium, High, Suburban, Medium Shot, Fly-through Shot
Medium, High, Natural, Very Long Shot, Bird's-eye Shot
Medium, Medium, Urban, Medium Shot, Survey Shot
Medium, Medium, Suburban, Medium Shot, Moving Aerial Pan Shot
Medium, Medium, Natural, Very Long Shot, Moving bird's-eye Shot
Medium, Low, Urban, Close-up, Fly-through Shot
Medium, Low, Suburban, Medium Shot, Survey Shot
Medium, Low, Natural, Very Long Shot, Fly-through Shot
Short, High, Urban, Medium Shot, Pedestal/Elevator Shot
Short, High, Suburban, Medium Shot, Moving Aerial Pan Shot
Short, High, Natural, Very Long Shot, Moving bird's-eye Shot
Short, Medium, Urban, Close-up, Fly-through Shot
Short, Medium, Suburban, Medium Shot, Fly-through Shot
Short, Medium, Natural, Medium Shot, Survey Shot
Short, Low, Urban, Close-up, Fly-through Shot
Short, Low, Suburban, Medium Shot, Survey Shot
Short, Low, Natural, Medium Shot, Moving bird's-eye Shot
