height, complexity, surroundings, distance, moving
Tall, High, Urban, Medium Shot, Moving Aerial Pan Shot
Tall, High, Suburban, Medium Shot, Moving Aerial Tilt Shot
Tall, High, Natural, Very Long Shot, Bird's-eye Shot
Tall, Medium, Urban, Medium Shot, Pedestal/Elevator Shot
Tall, Medium, Suburban, Medium Shot, Moving Aerial Pan Shot
Tall, Medium, Natural, Very Long Shot, Moving bird's-eye Shot
Tall, Low, Urban, Medium Shot, Survey Shot
Tall, Low, Suburban, Medium Shot, Moving Aerial Tilt Shot
Tall, Low, Natural, Very Long Shot, Fly-through Shot
Medium, High, Urban, Medium Shot, Moving bird's-eye Shot
Medium, High, Suburban, Medium Shot, Moving Aerial Pan Shot
Medium, High, Natural, Very Long Shot, Bird's-eye Shot
Medium, Medium, Urban, Medium Shot, Pedestal/Elevator Shot
Medium, Medium, Suburban, Medium Shot, Survey Shot
Medium, Medium, Natural, Very Long Shot, Survey Shot
Medium, Low, Urban, Medium Shot, Moving Aerial Tilt Shot
Medium, Low, Suburban, Medium Shot, Moving Aerial Pan Shot
Medium, Low, Natural, Very Long Shot, Fly-through Shot
Short, High, Urban, Close-up, Moving bird's-eye Shot
Short, High, Suburban, Close-up, Pedestal/Elevator Shot
Short, High, Natural, Medium Shot, Moving Aerial Tilt Shot
Short, Medium, Urban, Close-up, Moving Aerial Pan Shot
Short, Medium, Suburban, Close-up, Survey Shot
Short, Medium, Natural, Medium Shot, Fly-through Shot
Short, Low, Urban, Close-up, Survey Shot
Short, Low, Suburban, Close-up, Moving Aerial Tilt Shot
Short, Low, Natural, Medium Shot, Bird's-eye Shot
